mID,formula,vm1,vm2,vm3,sites,pointGroup,spaceGroup,volume,a,b,c,alpha,beta,gamma,eij,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,t14,t15,t16,t17,t18
mp-10623,ThSbRh,1.0,1.0,1.0,3,-43m,216,76.1775939473061,4.75825176,4.75825176,4.75825175,59.99999999,59.99999999,59.99999995,0.136235,0.0,0.0,0.0,-0.23596667,0.0,0.0,0.0,0.0,0.0,0.0,-0.23596667,0.0,0.0,0.0,0.0,0.0,0.0,-0.23596667
mp-4510,DyNiSb,1.0,1.0,1.0,3,-43m,216,63.9574333756277,4.48885257,4.48885256,4.48885257,60.00000002,60.00000006,60.00000000,0.154928,0.0,0.0,0.0,0.26834333,0.0,0.0,0.0,0.0,0.0,0.0,0.26834333,0.0,0.0,0.0,0.0,0.0,0.0,0.26834333
mp-22786,ThNiSn,1.0,1.0,1.0,3,-43m,216,71.32326831708653,4.65495419,4.65495419,4.65495419,59.99999995,59.99999993,59.99999993,0.408312,0.0,0.0,0.0,-0.70721667,0.0,0.0,0.0,0.0,0.0,0.0,-0.70721667,0.0,0.0,0.0,0.0,0.0,0.0,-0.70721667
mp-4025,TmNiSb,1.0,1.0,1.0,3,-43m,216,62.26949830410617,4.44901075,4.44901074,4.44901075,60.00000003,60.00000005,59.99999997,0.159374,0.0,0.0,0.0,-0.27604333,0.0,0.0,0.0,0.0,0.0,0.0,-0.27604333,0.0,0.0,0.0,0.0,0.0,0.0,-0.27604333
mp-11839,GdSbPt,1.0,1.0,1.0,3,-43m,216,74.09857402677876,4.71456488,4.71456488,4.71456487,59.99999997,59.99999998,59.99999998,0.19552,0.0,0.0,0.0,0.33865,0.0,0.0,0.0,0.0,0.0,0.0,0.33865,0.0,0.0,0.0,0.0,0.0,0.0,0.33865
mp-11836,ErSbPd,1.0,1.0,1.0,3,-43m,216,70.79356271190653,4.64340170,4.64340170,4.64340169,59.99999999,59.99999999,59.99999999,0.163571,0.0,0.0,0.0,0.28331333,0.0,0.0,0.0,0.0,0.0,0.0,0.28331333,0.0,0.0,0.0,0.0,0.0,0.0,0.28331333
mp-11869,HfSnPd,1.0,1.0,1.0,3,-43m,216,64.42130046525499,4.49967860,4.49967861,4.49967861,60.00000006,60.00000002,60.00000001,0.038963,0.0,0.0,0.0,0.06748667,0.0,0.0,0.0,0.0,0.0,0.0,0.06748667,0.0,0.0,0.0,0.0,0.0,0.0,0.06748667
mp-569779,ScSbPd,1.0,1.0,1.0,3,-43m,216,64.81862282106856,4.50891037,4.50891016,4.50891059,59.99999677,59.99999833,60.00000161,0.18297,0.0,0.0,0.0,-0.31691333,0.0,0.0,0.0,0.0,0.0,0.0,-0.31691333,0.0,0.0,0.0,0.0,0.0,0.0,-0.31691333
mp-10182,LiZnP,1.0,1.0,1.0,3,-43m,216,47.721332463377266,4.07138826,4.07138826,4.07138826,59.99999996,59.99999999,60.00000002,0.398655,0.0,0.0,0.0,0.69049,0.0,0.0,0.0,0.0,0.0,0.0,0.69049,0.0,0.0,0.0,0.0,0.0,0.0,0.69049
mp-570213,LiMgBi,1.0,1.0,1.0,3,-43m,216,80.33450072745758,4.84327370,4.84327415,4.84327414,60.00000004,59.99999703,59.99999685,0.015918,0.0,0.0,0.0,0.02757,0.0,0.0,0.0,0.0,0.0,0.0,0.02757,0.0,0.0,0.0,0.0,0.0,0.0,0.02757
